user,login_count,pcs_used,avg_login_hour,anomaly,anomaly_score,risk_score,risk_level
AAB0162,355,1,7.016901408450704,1,0.21681973156410572,78.31802684358942,MEDIUM
AAB0398,356,1,6.0,1,0.07720912728755003,92.279087271245,HIGH
AAC0610,665,1,9.699248120300751,1,0.14160174250592922,85.83982574940707,HIGH
AAC0668,356,1,7.556179775280899,1,0.23718576904294997,76.28142309570501,MEDIUM
AAC3270,356,1,8.0,1,0.23519507583635496,76.4804924163645,MEDIUM
AAD2188,356,1,7.0,1,0.23439520512122386,76.56047948787761,MEDIUM
AAD3030,356,1,7.561797752808989,1,0.2360444687917687,76.39555312082314,MEDIUM
AAF0819,665,32,9.4,1,0.11382091676880479,88.61790832311952,HIGH
AAF3937,356,1,7.553370786516854,1,0.23811081413126334,76.18891858687367,MEDIUM
AAG1447,356,1,8.553370786516854,1,0.18594013739558402,81.4059862604416,HIGH
AAG3799,355,1,8.002816901408451,1,0.23044746192669618,76.95525380733038,MEDIUM
AAH0721,356,1,6.533707865168539,1,0.1507395602724953,84.92604397275048,HIGH
AAM0138,356,1,7.544943820224719,1,0.23873000494167523,76.12699950583249,MEDIUM
AAM0729,356,1,8.0,1,0.23519507583635496,76.4804924163645,MEDIUM
AAP0352,377,22,7.437665782493369,1,0.07378936450131501,92.6210635498685,HIGH
AAP1919,453,89,7.91832229580574,1,0.01523408874462262,98.47659112553774,HIGH
AAP1942,630,1,9.128571428571428,1,0.16665388833157335,83.33461116684266,HIGH
AAR0641,356,1,9.0,1,0.1680023067579502,83.199769324205,HIGH
AAS0144,356,1,7.542134831460674,1,0.23873000494167523,76.12699950583249,MEDIUM
AAS2987,356,1,8.0,1,0.23519507583635496,76.4804924163645,MEDIUM
AAS3428,851,62,10.130434782608695,1,0.05298153231557701,94.7018467684423,HIGH
AAT2913,288,1,7.513888888888889,1,0.15531272167766763,84.46872783223324,HIGH
AAV3669,356,1,7.547752808988764,1,0.23873000494167523,76.12699950583249,MEDIUM
AAW0894,722,65,10.142659279778393,1,0.10847071611542614,89.15292838845738,HIGH
ABB0167,148,1,9.0,1,0.059238348280184816,94.07616517198151,HIGH
ABB0300,418,35,9.232057416267942,1,0.0793424923512191,92.06575076487809,HIGH
ABC3523,356,1,7.0,1,0.23439520512122386,76.56047948787761,MEDIUM
