user,login_count,pcs_used,avg_login_hour,anomaly
AAB0162,355,1,7.016901408450704,1
AAB0398,356,1,6.0,1
AAC0610,665,1,9.699248120300751,1
AAC0668,356,1,7.556179775280899,1
AAC3270,356,1,8.0,1
AAD2188,356,1,7.0,1
AAD3030,356,1,7.561797752808989,1
AAF0819,665,32,9.4,1
AAF3937,356,1,7.553370786516854,1
AAG1447,356,1,8.553370786516854,1
AAG3799,355,1,8.002816901408451,1
AAH0721,356,1,6.533707865168539,1
AAM0138,356,1,7.544943820224719,1
AAM0729,356,1,8.0,1
AAP0352,377,22,7.437665782493369,1
AAP1919,453,89,7.91832229580574,1
AAP1942,630,1,9.128571428571428,1
AAR0641,356,1,9.0,1
AAS0144,356,1,7.542134831460674,1
AAS2987,356,1,8.0,1
AAS3428,851,62,10.130434782608695,1
AAT2913,288,1,7.513888888888889,1
AAV3669,356,1,7.547752808988764,1
AAW0894,722,65,10.142659279778393,1
ABB0167,148,1,9.0,1
ABB0300,418,35,9.232057416267942,1
ABC3523,356,1,7.0,1
ABD3426,942,32,10.125265392781316,1
ABE2352,356,1,8.0,1
ABG2353,356,1,8.0,1
ABG3605,356,1,8.0,1
ABH0349,692,57,10.057803468208093,1
ABH1181,355,1,7.090140845070422,1
ABH2671,356,1,7.0,1
ABJ0281,104,1,7.461538461538462,1
ABK0481,34,1,7.0,1
ABK3081,883,52,10.270668176670442,1
ABL0870,356,1,8.0,1
ABM3203,463,27,6.116630669546436,-1
ABM3641,677,68,7.766617429837519,-1
ABM3687,464,74,10.54094827586207,1
ABM3772,703,1,10.038406827880513,1
ABM3776,356,1,8.0,1
ABO1173,712,1,9.351123595505618,1
ABP2003,356,1,7.0,1
ABP2917,745,1,9.511409395973155,1
ABR0397,751,94,9.197070572569906,1
ABS0677,649,17,9.568567026194144,1
ABW0501,356,1,7.0,1
ACA0360,356,1,8.0,1
ACA3252,356,1,8.0,1
ACB0701,720,1,9.141666666666667,1
ACB3123,742,72,8.700808625336927,1
ACC2773,356,1,7.0,1
ACF1806,207,1,8.91304347826087,1
ACG0312,483,110,8.869565217391305,1
ACG3819,811,21,10.04315659679408,1
ACH0008,356,1,7.550561797752809,1
ACH1405,356,1,7.0,1
ACH1910,893,68,11.078387458006718,-1
ACH2102,356,1,8.02247191011236,1
ACJ0014,356,1,7.098314606741573,1
ACL2943,644,1,10.523291925465838,1
ACM0100,631,1,9.952456418383518,1
ACM2278,316,1,8.996835443037975,1
ACM3964,643,1,9.136858475894243,1
ACN2347,757,97,10.414795244385733,1
ACP2122,703,17,9.27027027027027,1
ACR0331,356,1,8.0,1
ACR0748,356,1,7.0,1
ACS0128,485,16,9.101030927835051,1
ACS1921,460,94,7.997826086956522,1
ACV1946,761,85,9.517739816031538,1
ACW0426,356,1,7.0,1
ACW0464,1418,915,11.057827926657264,-1
ACW1707,356,1,7.0,1
ADB0350,356,1,7.008426966292135,1
ADB1105,307,44,7.657980456026059,1
ADB3853,356,1,7.519662921348314,1
ADC1469,356,1,7.008426966292135,1
ADG1430,630,1,9.9,1
ADG1737,506,73,8.318181818181818,1
ADH0975,474,109,8.30379746835443,-1
ADM0158,372,17,7.64247311827957,1
ADM0765,356,1,8.544943820224718,1
ADM0923,746,84,9.800268096514746,1
ADM1894,727,83,9.405777166437414,1
ADM2762,356,1,7.0,1
ADP1625,490,73,8.259183673469387,1
ADP3667,535,30,7.822429906542056,1
ADR1517,631,1,9.240887480190176,1
ADS0763,356,1,8.53370786516854,1
ADS2428,1409,923,10.596167494677076,-1
ADS2950,511,34,10.647749510763209,1
ADV1640,41,1,7.634146341463414,1
ADV2467,356,1,9.0,1
ADW2832,356,1,6.508426966292135,1
AEB1458,356,1,8.52808988764045,1
AEB3249,637,1,9.054945054945057,1
AEB3574,724,84,9.203038674033149,1
AED1421,453,52,8.852097130242825,1
AEF2019,356,1,7.0,1
AEG1121,312,1,7.519230769230769,1
AEH0187,575,1,9.619130434782608,1
AEH2020,639,1,9.007824726134585,1
AEK3566,480,108,8.01875,-1
AEM0554,1065,81,10.258215962441314,-1
AEP1930,638,1,9.144200626959249,1
AEW1442,356,1,8.0,1
AFB0904,738,95,10.22222222222222,1
AFB1626,356,1,7.542134831460674,1
AFB3228,720,1,8.9125,1
AFF1492,382,27,7.267015706806283,1
AFH1757,356,1,7.508426966292135,1
AFK3800,356,1,8.0,1
AFP2247,356,1,7.553370786516854,1
AFP2709,890,1,8.975280898876404,1
AGB0057,668,29,9.04191616766467,1
AGB3303,356,1,7.553370786516854,1
AGC0445,356,1,7.0,1
AGE1244,356,1,7.567415730337078,1
AGF0742,756,36,9.22222222222222,1
AGF1810,548,1,9.987226277372264,1
AGF2302,314,1,7.54140127388535,1
AGG3958,356,1,7.0,1
AGL1301,628,1,9.496815286624203,1
AGL3519,639,1,9.525821596244132,1
AGM0133,356,1,9.0,1
AGM3372,356,1,7.547752808988764,1
AGM3504,356,1,8.0,1
AGS0063,355,1,9.0,1
AGS2462,356,1,9.0,1
AGW1590,800,106,9.45125,1
AHB0648,665,32,9.589473684210526,1
AHC0232,356,1,8.061797752808989,1
AHC1994,779,61,9.518613607188705,1
AHC3277,356,1,8.0,1
AHD2457,356,1,7.047752808988764,1
AHG1408,356,1,7.0,1
AHG3997,356,1,8.0,1
AHH0495,628,1,9.878980891719744,1
AHH1966,355,1,8.0,1
AHK1988,356,1,7.112359550561798,1
AHM0959,481,111,8.98960498960499,1
AHP0154,356,1,7.525280898876405,1
AHS2348,356,1,8.0,1
AIA2005,229,1,7.0,1
AIB0553,640,1,10.0609375,1
AIB1567,356,1,7.48876404494382,1
AIB3416,753,105,10.292164674634794,1
AIC1071,356,1,8.0,1
AID2774,451,83,8.545454545454545,1
AIF1202,356,1,8.002808988764045,1
AIH2535,650,21,9.663076923076924,1
AIJ0383,637,1,9.524332810047095,1
AIJ3995,460,72,8.769565217391305,1
AIL2511,356,1,7.0,1
AIP1614,792,72,9.909090909090908,1
AIS1082,356,1,8.0,1
AIT1264,356,1,7.550561797752809,1
AIV3936,639,1,9.577464788732394,1
AIY3991,633,1,9.954186413902054,1
AJB1380,749,95,9.48731642189586,1
AJC0722,356,1,6.530898876404494,1
AJC3010,356,1,8.0,1
AJG0240,476,23,9.436974789915968,1
AJH0279,356,1,7.5,1
AJH2110,726,90,10.30853994490358,1
AJH3517,356,1,7.550561797752809,1
AJK0611,356,1,7.556179775280899,1
AJM0243,356,1,8.564606741573034,1
AJM0345,642,3,9.904984423676012,1
AJM2385,356,1,8.0,1
AJN1275,712,1,9.633426966292134,1
AJO2788,356,1,7.570224719101123,1
AJP1199,662,26,10.161631419939576,1
AJQ0809,643,1,9.19751166407465,1
AJS0616,356,1,7.553370786516854,1
AJS3021,957,117,9.692789968652038,-1
AJS3899,356,1,8.025280898876405,1
AJV0176,299,1,7.545150501672241,1
AJW1246,356,1,7.522471910112359,1
AKB2312,521,19,7.656429942418426,1
AKB3530,106,1,8.773584905660377,1
AKC1929,356,1,7.0,1
AKC3739,356,1,6.522471910112359,1
AKD0272,740,81,9.391891891891891,1
AKG2702,650,21,10.106153846153846,1
AKH0454,870,14,9.960919540229884,1
AKH1534,420,59,8.652380952380952,1
AKI3229,356,1,7.002808988764045,1
AKK2125,436,23,7.098623853211009,1
AKL1305,820,112,9.975609756097562,1
AKL1605,637,4,9.210361067503923,1
AKP3573,246,1,7.0,1
AKS0298,356,1,8.0,1
AKS3496,115,6,10.365217391304348,-1
AKS3705,356,1,8.0,1
AKW1679,356,1,7.0,1
ALB1254,301,1,7.0,1
ALB2395,356,1,7.042134831460674,1
ALB3649,809,104,9.559950556242274,1
ALC1060,1426,933,10.724403927068725,-1
ALD3508,356,1,7.544943820224719,1
ALH1494,356,1,7.056179775280899,1
ALH1872,356,1,7.0,1
ALH2916,356,1,7.50561797752809,1
ALL0289,422,62,8.793838862559241,1
ALN2046,356,1,7.525280898876405,1
ALP2955,356,1,8.52808988764045,1
ALS2596,356,1,8.0,1
ALS2669,356,1,7.089887640449438,1
ALS3440,689,1,10.143686502177069,1
ALT1354,356,1,7.578651685393258,1
AMA2808,889,1,9.382452193475816,1
AMB3100,935,118,9.02139037433155,-1
AMB3208,356,1,6.02808988764045,1
AMD2728,356,1,6.536516853932584,1
AME0732,356,1,8.0,1
AME1361,356,1,7.0,1
AME1490,607,17,9.530477759472817,1
AMH1481,356,1,7.0,1
AMH3562,356,1,7.0,1
AMJ2374,637,1,8.918367346938776,1
AMJ3174,191,1,8.0,1
AMM0734,355,1,7.0,1
AMM3906,356,1,8.0,1
AMN0911,735,88,9.963265306122448,1
AMO0582,356,1,8.0,1
AMR0197,356,1,7.0,1
AMS0630,356,1,7.207865168539326,1
AMS0712,759,108,9.411067193675889,1
ANB0938,642,1,8.917445482866043,1
ANB2766,652,18,9.016871165644172,1
ANC1319,639,1,9.604068857589985,1
ANC1834,356,1,7.50561797752809,1
ANC1950,466,1,7.160944206008583,1
ANF3332,702,6,9.173789173789174,1
ANH2482,356,1,9.0,1
ANH3059,356,1,7.036516853932584,1
ANK0777,356,1,7.542134831460674,1
ANL3024,762,72,9.769028871391075,1
ANM0564,650,25,9.527692307692307,1
ANO2653,734,93,9.874659400544958,1
AOC0982,621,1,9.069243156199676,1
AOD2178,356,1,7.0,1
AOM1457,655,22,10.549618320610689,1
AOP1542,356,1,8.01123595505618,1
APA1788,812,87,9.554187192118226,1
APB1122,632,1,9.504746835443038,1
APB3823,494,1,8.0,1
APC3043,1374,886,10.841339155749637,-1
APD0381,356,1,7.51685393258427,1
APH2985,356,1,8.0,1
APM0190,630,1,8.995238095238095,1
APP1054,950,657,11.256842105263155,-1
APP1996,356,1,7.0,1
APP2488,422,63,9.56872037914692,1
APP3678,715,79,9.864335664335664,1
APS1968,375,1,8.018666666666666,1
APS3553,356,1,8.002808988764045,1
APS3701,356,1,8.00561797752809,1
ARB0208,477,105,9.067085953878406,1
ARB2515,356,1,7.519662921348314,1
ARB3934,356,1,7.5,1
ARC1223,356,1,8.0,1
ARC1725,672,29,10.147321428571429,1
ARC2809,642,11,9.1791277258567,1
ARC3034,653,23,9.597243491577336,1
ARF0575,356,1,7.536516853932584,1
ARG0441,632,1,9.014240506329116,1
ARG3554,356,1,8.0,1
ARH1610,356,1,7.0,1
ARH2097,676,42,10.211538461538462,1
ARH2262,356,1,7.0,1
ARJ0912,356,1,7.51685393258427,1
ARK3198,783,12,9.061302681992338,1
ARL2672,356,1,7.0,1
ARM0076,356,1,7.0,1
ARM0771,356,1,7.536516853932584,1
ARP1144,638,1,9.518808777429468,1
ARS3506,356,1,7.536516853932584,1
ARV0704,634,1,8.97160883280757,1
ARW0818,506,26,7.606719367588933,1
ARW1507,356,1,7.165730337078652,1
ARZ3464,724,24,10.060773480662984,1
ASC0177,736,81,9.798913043478262,1
ASD0993,356,1,7.502808988764045,1
ASD3348,356,1,7.0,1
ASF1136,356,1,8.0,1
ASG0072,628,1,9.022292993630574,1
ASH0142,356,1,7.542134831460674,1
ASH1710,356,1,7.561797752808989,1
ASK0599,356,1,7.547752808988764,1
ASK2349,355,1,8.067605633802817,1
ASM3771,356,1,8.0,1
ASM3925,356,1,7.0,1
ASP2895,356,1,8.196629213483146,1
ASS0120,380,24,7.860526315789474,1
ASS0280,642,1,9.61214953271028,1
ASS2760,356,1,7.0,1
ASW1918,752,55,9.690159574468083,1
ATB1273,635,1,9.532283464566929,1
ATC0218,356,1,6.525280898876405,1
