user,login_count,pcs_used,avg_login_hour
AAB0162,355,1,7.016901408450704
AAB0398,356,1,6.0
AAC0610,665,1,9.699248120300751
AAC0668,356,1,7.556179775280899
AAC3270,356,1,8.0
AAD2188,356,1,7.0
AAD3030,356,1,7.561797752808989
AAF0819,665,32,9.4
AAF3937,356,1,7.553370786516854
AAG1447,356,1,8.553370786516854
AAG3799,355,1,8.002816901408451
AAH0721,356,1,6.533707865168539
AAM0138,356,1,7.544943820224719
AAM0729,356,1,8.0
AAP0352,377,22,7.437665782493369
AAP1919,453,89,7.91832229580574
AAP1942,630,1,9.128571428571428
AAR0641,356,1,9.0
AAS0144,356,1,7.542134831460674
AAS2987,356,1,8.0
AAS3428,851,62,10.130434782608695
AAT2913,288,1,7.513888888888889
AAV3669,356,1,7.547752808988764
AAW0894,722,65,10.142659279778393
ABB0167,148,1,9.0
ABB0300,418,35,9.232057416267942
ABC3523,356,1,7.0
ABD3426,942,32,10.125265392781316
ABE2352,356,1,8.0
ABG2353,356,1,8.0
ABG3605,356,1,8.0
ABH0349,692,57,10.057803468208093
ABH1181,355,1,7.090140845070422
ABH2671,356,1,7.0
ABJ0281,104,1,7.461538461538462
ABK0481,34,1,7.0
ABK3081,883,52,10.270668176670442
ABL0870,356,1,8.0
ABM3203,463,27,6.116630669546436
ABM3641,677,68,7.766617429837519
ABM3687,464,74,10.54094827586207
ABM3772,703,1,10.038406827880513
ABM3776,356,1,8.0
ABO1173,712,1,9.351123595505618
ABP2003,356,1,7.0
ABP2917,745,1,9.511409395973155
ABR0397,751,94,9.197070572569906
ABS0677,649,17,9.568567026194145
ABW0501,356,1,7.0
ACA0360,356,1,8.0
ACA3252,356,1,8.0
ACB0701,720,1,9.141666666666667
ACB3123,742,72,8.700808625336927
ACC2773,356,1,7.0
ACF1806,207,1,8.91304347826087
ACG0312,483,110,8.869565217391305
ACG3819,811,21,10.04315659679408
ACH0008,356,1,7.550561797752809
ACH1405,356,1,7.0
ACH1910,893,68,11.078387458006718
ACH2102,356,1,8.02247191011236
ACJ0014,356,1,7.098314606741573
ACL2943,644,1,10.523291925465838
ACM0100,631,1,9.952456418383518
ACM2278,316,1,8.996835443037975
ACM3964,643,1,9.136858475894245
ACN2347,757,97,10.414795244385733
ACP2122,703,17,9.27027027027027
ACR0331,356,1,8.0
ACR0748,356,1,7.0
ACS0128,485,16,9.101030927835051
ACS1921,460,94,7.997826086956522
ACV1946,761,85,9.517739816031538
ACW0426,356,1,7.0
ACW0464,1418,915,11.057827926657264
ACW1707,356,1,7.0
ADB0350,356,1,7.008426966292135
ADB1105,307,44,7.657980456026059
ADB3853,356,1,7.519662921348314
ADC1469,356,1,7.008426966292135
ADG1430,630,1,9.9
ADG1737,506,73,8.318181818181818
ADH0975,474,109,8.30379746835443
ADM0158,372,17,7.64247311827957
ADM0765,356,1,8.544943820224718
ADM0923,746,84,9.800268096514746
ADM1894,727,83,9.405777166437414
ADM2762,356,1,7.0
ADP1625,490,73,8.259183673469387
ADP3667,535,30,7.822429906542056
ADR1517,631,1,9.240887480190175
ADS0763,356,1,8.53370786516854
ADS2428,1409,923,10.596167494677076
ADS2950,511,34,10.647749510763209
ADV1640,41,1,7.634146341463414
ADV2467,356,1,9.0
ADW2832,356,1,6.508426966292135
AEB1458,356,1,8.52808988764045
AEB3249,637,1,9.054945054945055
AEB3574,724,84,9.203038674033149
AED1421,453,52,8.852097130242825
AEF2019,356,1,7.0
AEG1121,312,1,7.519230769230769
